ANIO,LOCALIDAD,Casos,Tasa
2020,Antonio Nariño,8,8.0
2020,Barrios Unidos,13,10.2
2020,Bosa,65,7.6
2020,Chapinero,12,8.4
2020,Ciudad Bolívar,88,10.1
2020,Engativá,61,8.7
2020,Fontibón,23,7.4
2020,Kennedy,90,8.2
2020,La Candelaria,2,8.5
2020,Los Mártires,10,8.3
2020,Puente Aranda,24,10.7
2020,Rafael Uribe Uribe,36,8.1
2020,San Cristóbal,40,9.6
2020,Santa Fe,10,6.6
2020,Suba,76,6.8
2020,Teusaquillo,10,9.1
2020,Tunjuelito,13,6.3
2020,Usaquén,22,4.8
2020,Usme,41,9.3
2021,Antonio Nariño,5,6.3
2021,Barrios Unidos,7,7.2
2021,Bosa,68,9.6
2021,Chapinero,9,7.1
2021,Ciudad Bolívar,77,10.1
2021,Engativá,54,9.6
2021,Fontibón,18,6.7
2021,Kennedy,58,6.3
2021,La Candelaria,2,11.2
2021,Los Mártires,15,14.4
2021,Puente Aranda,22,11.5
2021,Rafael Uribe Uribe,29,8.0
2021,San Cristóbal,34,9.5
2021,Santa Fe,7,5.6
2021,Suba,70,7.3
2021,Teusaquillo,10,12.2
2021,Tunjuelito,11,6.4
2021,Usaquén,26,6.3
2021,Usme,44,11.5
2022,Antonio Nariño,9,12.1
2022,Barrios Unidos,11,10.9
2022,Bosa,74,11.1
2022,Chapinero,6,5.0
2022,Ciudad Bolívar,78,11.2
2022,Engativá,53,9.3
2022,Fontibón,19,7.0
2022,Kennedy,88,9.8
2022,La Candelaria,1,5.1
2022,Los Mártires,10,10.7
2022,Puente Aranda,19,10.5
2022,Rafael Uribe Uribe,18,5.1
2022,San Cristóbal,23,7.0
2022,Santa Fe,9,7.9
2022,Suba,76,8.0
2022,Teusaquillo,7,7.3
2022,Tunjuelito,13,8.3
2022,Usaquén,33,7.9
2022,Usme,41,11.5
2023,Antonio Nariño,5,7.0
2023,Barrios Unidos,8,8.8
2023,Bosa,56,9.1
2023,Chapinero,12,10.1
2023,Ciudad Bolívar,55,8.6
2023,Engativá,47,8.2
2023,Fontibón,21,7.9
2023,Kennedy,80,9.6
2023,La Candelaria,0,0.0
2023,Los Mártires,16,17.2
2023,Puente Aranda,15,8.6
2023,Rafael Uribe Uribe,27,8.3
2023,San Cristóbal,20,6.9
2023,Santa Fe,14,13.0
2023,Suba,69,7.6
2023,Teusaquillo,5,5.6
2023,Tunjuelito,10,7.0
2023,Usaquén,35,8.8
2023,Usme,33,10.2
2024,Antonio Nariño,7,11.3
2024,Barrios Unidos,4,4.5
2024,Bosa,59,10.3
2024,Chapinero,5,4.3
2024,Ciudad Bolívar,64,10.7
2024,Engativá,40,7.8
2024,Fontibón,20,7.9
2024,Kennedy,73,9.3
2024,La Candelaria,1,6.5
2024,Los Mártires,7,8.0
2024,Puente Aranda,13,8.0
2024,Rafael Uribe Uribe,23,7.9
2024,San Cristóbal,23,8.0
2024,Santa Fe,7,7.2
2024,Suba,72,8.8
2024,Teusaquillo,9,11.6
2024,Tunjuelito,17,12.7
2024,Usaquén,32,8.3
2024,Usme,35,11.6
