"Periodo","MOV","CBV","MAM","JAZ","PTE","MOV2","SCR","CSE","USM","SUB","CDAR","BOL","TUN","FTB","USQ","GYR","BOS","COL","KEN","LFR"
"2013-10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30","N/A","N/A","16","N/A","17","N/A","8","N/A","N/A","N/A","30","13"
"2013-11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30","N/A","N/A","19","N/A","23","N/A","12","N/A","N/A","N/A","33","N/A"
"2013-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29","N/A","N/A","15","N/A","17","N/A","7","N/A","N/A","N/A","30","12"
"2014-01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","18","N/A","18","N/A","10","N/A","N/A","N/A","36","17"
"2014-02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","48","N/A","N/A","29","N/A","28","N/A","17","N/A","N/A","N/A","41","28"
"2014-03","N/A","N/A","N/A","N/A","N/A","N/A","N/A","46","N/A","35","31","N/A","35","N/A","23","N/A","N/A","N/A","42","N/A"
"2014-04","N/A","N/A","14","N/A","N/A","N/A","N/A","29","N/A","24","20","N/A","23","N/A","13","N/A","N/A","N/A","32","20"
"2014-05","N/A","N/A","14","N/A","N/A","N/A","11","30","N/A","22","22","N/A","24","N/A","14","N/A","N/A","N/A","32","20"
"2014-06","N/A","N/A","13","N/A","N/A","N/A","9","33","N/A","14","13","N/A","16","N/A","9","N/A","N/A","N/A","23","N/A"
"2014-07","N/A","N/A","10","N/A","N/A","N/A","5","31","N/A","14","10","N/A","12","N/A","6","N/A","N/A","N/A","N/A","8"
"2014-08","N/A","N/A","12","N/A","N/A","N/A","6","32","N/A","17","13","N/A","17","N/A","N/A","N/A","N/A","N/A","24","N/A"
"2014-09","N/A","N/A","14","N/A","N/A","N/A","8","N/A","N/A","N/A","N/A","N/A","18","N/A","N/A","N/A","N/A","N/A","25","16"
"2014-10","N/A","N/A","18","N/A","N/A","N/A","8","33","N/A","21","N/A","N/A","27","N/A","13","N/A","N/A","N/A","30","N/A"
"2014-11","N/A","N/A","22","N/A","N/A","N/A","11","N/A","N/A","23","23","N/A","31","N/A","15","17","N/A","N/A","30","N/A"
"2014-12","N/A","N/A","26","N/A","N/A","N/A","13","34","N/A","26","24","N/A","30","N/A","16","18","N/A","N/A","37","N/A"
"2015-01","N/A","N/A","18","N/A","N/A","N/A","10","28","N/A","23","20","N/A","22","N/A","11","16","N/A","N/A","29","N/A"
"2015-02","N/A","N/A","23","N/A","N/A","N/A","13","36","N/A","30","25","N/A","29","N/A","N/A","19","N/A","N/A","34","N/A"
"2015-03","N/A","N/A","25","N/A","N/A","N/A","15","34","N/A","33","27","N/A","31","N/A","20","20","N/A","N/A","34","26"
"2015-04","N/A","N/A","15","N/A","N/A","N/A","8","30","N/A","22","16","N/A","20","N/A","N/A","13","N/A","N/A","27","16"
"2015-05","N/A","N/A","14","N/A","N/A","N/A","9","28","N/A","22","15","N/A","20","N/A","11","13","N/A","N/A","29","16"
"2015-06","N/A","N/A","8","N/A","N/A","N/A","5","25","N/A","15","9","N/A","13","N/A","8","8","N/A","N/A","19","10"
"2015-07","N/A","N/A","9","N/A","N/A","N/A","5","27","N/A","15","10","N/A","15","N/A","9","9","N/A","N/A","21","12"
"2015-08","N/A","N/A","10","N/A","N/A","N/A","5","27","N/A","17","12","N/A","16","N/A","10","9","N/A","N/A","22","14"
"2015-09","N/A","N/A","10","N/A","N/A","N/A","7","34","N/A","20","14","N/A","19","N/A","14","12","N/A","N/A","28","14"
"2015-10","N/A","N/A","14","N/A","N/A","N/A","8","40","N/A","22","20","N/A","22","N/A","15","13","N/A","N/A","28","17"
"2015-11","N/A","N/A","15","N/A","N/A","N/A","10","33","N/A","N/A","20","N/A","25","N/A","17","17","N/A","N/A","28","20"
"2015-12","N/A","N/A","12","N/A","N/A","N/A","8","28","N/A","19","14","N/A","20","N/A","11","13","N/A","N/A","25","13"
"2016-01","N/A","N/A","33","N/A","N/A","N/A","23","39","N/A","32","34","N/A","39","N/A","N/A","26","N/A","N/A","43","31"
"2016-02","N/A","N/A","23","N/A","N/A","N/A","15","38","N/A","32","25","N/A","29","N/A","24","21","N/A","N/A","N/A","24"
"2016-03","N/A","N/A","29","N/A","N/A","N/A","24","37","N/A","35","33","N/A","36","N/A","34","28","N/A","N/A","36","28"
"2016-04","N/A","N/A","21","N/A","N/A","N/A","N/A","29","N/A","24","22","N/A","25","N/A","21","15","N/A","N/A","29","21"
"2016-05","N/A","N/A","11","N/A","N/A","N/A","6","25","N/A","14","13","N/A","17","N/A","10","10","N/A","N/A","25","11"
"2016-06","N/A","N/A","11","N/A","N/A","N/A","6","27","N/A","N/A","10","N/A","12","N/A","9","10","N/A","N/A","22","8"
"2016-07","N/A","N/A","7","N/A","N/A","N/A","5","21","N/A","N/A","9","N/A","11","N/A","11","6","N/A","N/A","22","8"
"2016-08","N/A","N/A","10","N/A","N/A","N/A","7","25","N/A","N/A","11","N/A","14","N/A","9","11","N/A","N/A","28","N/A"
"2016-09","N/A","N/A","12","N/A","N/A","N/A","7","N/A","N/A","N/A","15","N/A","17","N/A","11","N/A","N/A","N/A","30","15"
"2016-10","N/A","N/A","19","N/A","20","N/A","10","N/A","N/A","N/A","21","N/A","24","N/A","16","18","N/A","N/A","33","18"
"2016-11","N/A","N/A","20","N/A","23","N/A","11","N/A","N/A","17","24","N/A","30","N/A","18","15","N/A","N/A","33","22"
"2016-12","N/A","N/A","21","N/A","25","N/A","11","N/A","N/A","22","24","N/A","28","N/A","16","16","N/A","N/A","35","21"
"2017-01","N/A","N/A","18","N/A","17","N/A","17","24","N/A","9","19","N/A","20","N/A","23","24","N/A","N/A","15","26"
"2017-02","N/A","N/A","22","N/A","24","N/A","15","29","N/A","26","24","N/A","30","N/A","22","23","N/A","N/A","34","24"
"2017-03","N/A","N/A","24","N/A","22","N/A","16","30","N/A","21","N/A","N/A","28","N/A","N/A","18","N/A","N/A","30","21"
"2017-04","N/A","N/A","17","N/A","20","N/A","12","30","N/A","22","N/A","N/A","23","N/A","16","18","N/A","N/A","27","N/A"
"2017-05","N/A","N/A","N/A","N/A","18","N/A","9","27","N/A","14","N/A","N/A","19","N/A","N/A","11","N/A","N/A","24","13"
"2017-06","N/A","N/A","N/A","N/A","17","N/A","17","27","N/A","9","N/A","N/A","14","N/A","19","11","N/A","N/A","24","13"
"2017-07","N/A","N/A","8","N/A","10","N/A","10","24","N/A","7","8","N/A","11","N/A","11","N/A","N/A","N/A","19","8"
"2017-08","N/A","N/A","9","N/A","14","N/A","9","29","N/A","16","10","N/A","16","N/A","9","12","N/A","N/A","25","12"
"2017-09","N/A","N/A","12","N/A","15","N/A","11","29","N/A","18","13","N/A","15","N/A","11","14","N/A","N/A","25","15"
"2017-10","N/A","N/A","15","N/A","16","N/A","13","29","N/A","16","13","N/A","20","N/A","11","13","N/A","N/A","26","14"
"2017-11","N/A","N/A","N/A","N/A","23","N/A","20","34","N/A","22","19","N/A","28","N/A","19","16","N/A","N/A","32","25"
"2017-12","N/A","N/A","N/A","N/A","21","N/A","19","30","N/A","22","18","N/A","23","N/A","14","19","N/A","N/A","30","18"
"2018-01","N/A","N/A","N/A","N/A","18","N/A","15","29","N/A","18","16","N/A","22","N/A","13","16","N/A","N/A","26","N/A"
"2018-02","N/A","N/A","N/A","N/A","24","N/A","25","30","N/A","26","23","N/A","32","N/A","24","22","N/A","N/A","33","N/A"
"2018-03","N/A","N/A","N/A","N/A","23","N/A","20","33","N/A","26","21","N/A","28","N/A","21","21","N/A","N/A","32","24"
"2018-04","N/A","N/A","19","N/A","19","N/A","15","29","N/A","18","17","N/A","24","N/A","14","14","N/A","N/A","27","18"
"2018-05","N/A","N/A","14","N/A","16","N/A","8","27","N/A","13","N/A","N/A","16","N/A","9","9","N/A","N/A","21","14"
"2018-06","N/A","N/A","8","N/A","11","N/A","4","29","N/A","12","N/A","N/A","N/A","N/A","7","8","N/A","N/A","17","N/A"
"2018-07","N/A","N/A","11","N/A","N/A","N/A","5","27","N/A","10","8","N/A","12","N/A","6","N/A","N/A","N/A","17","8"
"2018-08","N/A","N/A","9","N/A","10","N/A","5","30","N/A","11","7","N/A","N/A","N/A","6","N/A","N/A","N/A","20","7"
"2018-09","N/A","N/A","14","N/A","15","N/A","10","27","N/A","13","14","N/A","19","N/A","11","14","N/A","N/A","22","15"
"2018-10","N/A","N/A","15","N/A","17","N/A","13","27","N/A","14","15","N/A","23","N/A","15","16","N/A","N/A","23","18"
"2018-11","N/A","N/A","16","N/A","20","N/A","13","N/A","N/A","15","14","N/A","16","N/A","15","N/A","N/A","N/A","25","19"
"2018-12","N/A","N/A","12","N/A","18","N/A","10","31","N/A","16","11","N/A","16","N/A","11","13","N/A","N/A","28","13"
"2019-01","N/A","N/A","14","N/A","18","N/A","13","29","N/A","17","15","N/A","16","14","15","14","N/A","N/A","25","13"
"2019-02","N/A","N/A","21","N/A","25","N/A","18","49","N/A","26","26","N/A","25","22","24","23","N/A","N/A","35","20"
"2019-03","N/A","N/A","25","N/A","27","N/A","21","52","N/A","29","28","N/A","28","25","27","25","N/A","N/A","37","28"
"2019-04","N/A","N/A","18","N/A","20","N/A","14","38","N/A","18","19","N/A","20","24","18","15","N/A","N/A","28","19"
