Periodo,ANTONIO NARIÑO,BARRIOS UNIDOS,BOSA,CHAPINERO,CIUDAD BOLÍVAR,ENGATIVÁ,FONTIBÓN,KENNEDY,LA CANDELARIA,LOS MÁRTIRES,PUENTE ARANDA,RAFAEL URIBE URIBE,SAN CRISTÓBAL,SANTA FE,SUBA,TEUSAQUILLO,TUNJUELITO,USAQUÉN,USME
2020-01,9.0,13.0,0.0,6.5,0.0,8.5,10.0,27.0,12.5,8.3,7.5,13.5,12.0,12.5,10.7,10.2,22.5,16.0,0.0
2020-02,12.7,20.0,0.0,8.5,0.0,9.5,13.5,34.0,17.0,11.3,13.5,19.0,17.0,17.0,14.7,16.0,30.0,22.0,0.0
2020-03,20.0,33.0,0.0,14.5,0.0,17.0,18.5,41.5,28.5,19.0,18.5,30.0,28.0,28.5,21.3,24.8,38.0,33.0,0.0
2020-04,8.7,14.0,0.0,6.5,0.0,0.0,9.0,19.5,13.0,8.7,9.5,13.0,13.0,13.0,10.0,11.5,16.5,16.0,0.0
2020-05,3.0,0.0,0.0,3.5,0.0,0.0,6.0,16.0,3.5,2.3,6.5,4.5,0.0,3.5,5.7,5.0,14.0,8.0,0.0
2020-06,5.7,8.0,0.0,4.5,0.0,4.0,7.0,7.5,8.0,5.3,7.5,8.5,7.0,8.0,6.0,8.0,5.0,10.0,0.0
2020-07,3.7,6.0,0.0,3.0,0.0,3.0,0.0,19.5,5.0,3.3,6.5,5.5,4.0,5.0,5.0,6.2,14.5,7.0,0.0
2020-08,5.3,9.0,0.0,4.0,0.0,4.5,7.0,21.5,7.0,4.7,7.5,8.0,6.0,7.0,6.3,8.0,18.0,9.0,0.0
2020-09,6.3,11.0,0.0,4.5,0.0,5.0,8.5,9.5,8.0,5.3,10.0,9.5,7.0,8.0,7.7,10.0,6.0,10.0,0.0
2020-10,7.7,11.0,0.0,5.0,0.0,4.5,8.5,23.0,10.5,7.0,9.5,11.5,11.0,10.5,7.3,10.0,20.0,8.0,0.0
2020-11,12.7,18.0,0.0,8.5,0.0,7.0,10.5,27.5,17.0,11.3,14.0,19.0,17.0,17.0,10.7,15.8,26.0,13.0,0.0
2020-12,9.3,14.0,0.0,7.0,0.0,7.0,11.0,31.5,13.5,9.0,13.0,14.0,13.0,13.5,9.7,13.5,26.0,8.0,0.0
2021-01,8.7,14.0,0.0,6.0,0.0,7.5,9.5,11.0,11.5,7.7,11.5,13.0,11.0,11.5,9.7,12.2,7.5,7.0,0.0
2021-02,11.0,14.0,0.0,8.0,0.0,7.5,10.0,30.0,15.5,10.3,13.0,16.5,15.0,15.5,10.7,14.0,27.0,8.0,0.0
2021-03,12.0,16.0,0.0,8.0,0.0,8.5,10.5,12.5,16.0,10.7,13.5,18.0,16.0,16.0,11.0,14.8,10.0,11.0,0.0
2021-04,11.0,11.0,0.0,5.0,0.0,11.5,6.0,26.0,9.5,10.7,17.0,10.0,9.0,9.5,7.7,10.5,21.5,0.0,0.0
2021-05,11.0,11.0,0.0,5.0,0.0,11.5,6.0,26.0,9.5,10.7,17.0,10.0,9.0,9.5,7.7,10.5,21.5,0.0,0.0
2021-06,12.0,10.0,0.0,4.5,0.0,11.0,6.5,24.0,10.0,10.7,16.5,12.0,11.0,10.0,7.0,10.0,21.5,0.0,0.0
2021-07,2.3,7.0,0.0,3.5,0.0,7.0,5.5,18.5,3.5,4.7,10.5,0.0,0.0,3.5,4.7,7.0,13.0,0.0,0.0
2021-08,10.7,11.0,0.0,4.0,0.0,12.0,8.5,24.5,9.0,10.0,6.0,10.0,10.0,9.0,6.3,4.8,20.0,0.0,0.0
2021-09,10.0,10.0,0.0,4.0,0.0,13.0,8.5,29.0,8.0,9.3,15.0,9.0,8.0,8.0,7.3,9.0,24.5,7.0,0.0
2021-10,15.7,15.0,0.0,7.0,0.0,15.0,9.0,32.5,13.5,14.7,20.0,15.0,13.0,13.5,9.3,13.0,29.5,13.0,0.0
